##               T_u          dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
SoLID_N_PIP 3.949700e-01  5.677326e-03  -2.189200e-01  2.061565e-03  3.203600e-01  4.102706e-03  -1.710000e-01  1.587844e-03
OLD         3.949700e-01  1.869553e-02  -2.189200e-01  3.245208e-02  3.203600e-01  1.521277e-02  -1.710000e-01  2.232245e-02
SoLID_N_PIM 3.949700e-01  8.829213e-04  -2.189200e-01  1.738893e-03  3.200300e-01  6.981046e-04  -1.710000e-01  1.368686e-03
OLD         3.949700e-01  1.869553e-02  -2.189200e-01  3.245208e-02  3.200300e-01  1.519820e-02  -1.710000e-01  2.232289e-02
SoLID_P_PIP 3.949700e-01  3.075581e-03  -2.189200e-01  2.813174e-03  3.061500e-01  2.369826e-03  -1.626900e-01  2.007274e-03
OLD         3.949700e-01  1.869553e-02  -2.189200e-01  3.245208e-02  3.061500e-01  1.456301e-02  -1.626900e-01  2.099345e-02
SoLID_P_PIM 3.949700e-01  6.012745e-03  -2.189200e-01  8.537040e-03  2.976300e-01  4.239953e-03  -1.610100e-01  4.119615e-03
OLD         3.949700e-01  1.869553e-02  -2.189200e-01  3.245208e-02  2.976300e-01  1.417644e-02  -1.610100e-01  2.073932e-02
CLAS_P_PIP  3.949700e-01  6.201599e-03  -2.189200e-01  2.426045e-02  3.104200e-01  3.642516e-03  -1.566200e-01  1.490894e-02
OLD         3.949700e-01  1.869553e-02  -2.189200e-01  3.245208e-02  3.104200e-01  1.473158e-02  -1.566200e-01  2.004708e-02
CLAS_P_PIM  3.949700e-01  1.225039e-02  -2.189200e-01  2.121833e-02  3.156200e-01  9.611325e-03  -1.621800e-01  1.258561e-02
OLD         3.949700e-01  1.869553e-02  -2.189200e-01  3.245208e-02  3.156200e-01  1.497882e-02  -1.621800e-01  2.090645e-02
