## T_u  dO_u   T_d  dO_d  T_u  dO_u   T_d_jlab  dO_d_jlab  T_u  dO_u_jlab   T_d  dO_d_jlab
3.949700e-01  1.869553e-02  -2.189200e-01  3.245208e-02  3.061500e-01  1.456301e-02  -1.626900e-01  2.099345e-02
## x    h_u   dO_h_u    h_d   dO_h_d
1.000000e-04  5.549460e-04  7.928486e-05  -2.670660e-06  2.933562e-06
1.018990e-02  9.901950e-03  6.773497e-04  -4.588310e-03  1.753811e-03
2.027980e-02  1.877580e-02  1.135344e-03  -1.385360e-02  4.283556e-03
3.036970e-02  2.803130e-02  1.587916e-03  -2.573880e-02  6.938119e-03
4.045960e-02  3.757710e-02  2.042645e-03  -3.896650e-02  9.459879e-03
5.054950e-02  4.731400e-02  2.499917e-03  -5.260510e-02  1.171475e-02
6.063940e-02  5.715980e-02  2.958714e-03  -6.597160e-02  1.363491e-02
7.072930e-02  6.704280e-02  3.417191e-03  -7.849280e-02  1.517726e-02
8.081920e-02  7.689080e-02  3.873135e-03  -8.984400e-02  1.634945e-02
9.090910e-02  8.664650e-02  4.324381e-03  -9.973850e-02  1.716070e-02
1.009990e-01  9.624950e-02  4.768796e-03  -1.080340e-01  1.764359e-02
1.110890e-01  1.056510e-01  5.203973e-03  -1.146420e-01  1.783513e-02
1.211790e-01  1.148020e-01  5.628006e-03  -1.195870e-01  1.778661e-02
1.312690e-01  1.236580e-01  6.038859e-03  -1.228960e-01  1.754206e-02
1.413590e-01  1.321840e-01  6.434837e-03  -1.246600e-01  1.714991e-02
1.514480e-01  1.403440e-01  6.815019e-03  -1.249990e-01  1.665769e-02
1.615380e-01  1.480950e-01  7.175428e-03  -1.240440e-01  1.610373e-02
1.716280e-01  1.554240e-01  7.517707e-03  -1.219410e-01  1.552227e-02
1.817180e-01  1.622930e-01  7.838894e-03  -1.188540e-01  1.494327e-02
1.918080e-01  1.686860e-01  8.137203e-03  -1.149280e-01  1.438351e-02
2.018980e-01  1.745870e-01  8.413914e-03  -1.103110e-01  1.385545e-02
2.119880e-01  1.799700e-01  8.665813e-03  -1.051660e-01  1.336561e-02
2.220780e-01  1.848380e-01  8.893820e-03  -9.959300e-02  1.290720e-02
2.321680e-01  1.891660e-01  9.096016e-03  -9.375460e-02  1.247982e-02
2.422580e-01  1.929620e-01  9.273371e-03  -8.772870e-02  1.207049e-02
2.523470e-01  1.962130e-01  9.425576e-03  -8.163710e-02  1.167308e-02
2.624370e-01  1.989210e-01  9.551477e-03  -7.555920e-02  1.127718e-02
2.725270e-01  2.010930e-01  9.652289e-03  -6.956390e-02  1.087439e-02
2.826170e-01  2.027210e-01  9.726271e-03  -6.373180e-02  1.046160e-02
2.927070e-01  2.038270e-01  9.775783e-03  -5.809320e-02  1.003169e-02
3.027970e-01  2.044080e-01  9.800455e-03  -5.270240e-02  9.585233e-03
3.128870e-01  2.044810e-01  9.800183e-03  -4.758880e-02  9.121954e-03
3.229770e-01  2.040590e-01  9.776246e-03  -4.277070e-02  8.643015e-03
3.330670e-01  2.031530e-01  9.729157e-03  -3.827070e-02  8.152693e-03
3.431570e-01  2.017850e-01  9.659297e-03  -3.408850e-02  7.653133e-03
3.532460e-01  1.999720e-01  9.568196e-03  -3.023030e-02  7.149564e-03
3.633360e-01  1.977310e-01  9.456018e-03  -2.669280e-02  6.646505e-03
3.734260e-01  1.950810e-01  9.324724e-03  -2.346800e-02  6.148382e-03
3.835160e-01  1.920490e-01  9.174579e-03  -2.054400e-02  5.659114e-03
3.936060e-01  1.886620e-01  9.007047e-03  -1.790740e-02  5.182772e-03
4.036960e-01  1.849310e-01  8.822886e-03  -1.554470e-02  4.723402e-03
4.137860e-01  1.808710e-01  8.622985e-03  -1.343810e-02  4.283972e-03
4.238760e-01  1.765420e-01  8.410634e-03  -1.156570e-02  3.865500e-03
4.339660e-01  1.719850e-01  8.186245e-03  -9.907980e-03  3.469317e-03
4.440560e-01  1.671930e-01  7.950889e-03  -8.450810e-03  3.098172e-03
4.541450e-01  1.621610e-01  7.704426e-03  -7.178160e-03  2.753613e-03
4.642350e-01  1.569340e-01  7.448305e-03  -6.071410e-03  2.435537e-03
4.743250e-01  1.515930e-01  7.187272e-03  -5.110400e-03  2.142596e-03
4.844150e-01  1.461390e-01  6.920399e-03  -4.280810e-03  1.874905e-03
4.945050e-01  1.405680e-01  6.648687e-03  -3.569190e-03  1.632284e-03
5.045950e-01  1.348830e-01  6.371467e-03  -2.962470e-03  1.414078e-03
5.146850e-01  1.291440e-01  6.091884e-03  -2.447240e-03  1.218753e-03
5.247750e-01  1.234100e-01  5.812672e-03  -2.011090e-03  1.044596e-03
5.348650e-01  1.176700e-01  5.533659e-03  -1.644150e-03  8.904730e-04
5.449550e-01  1.119270e-01  5.255278e-03  -1.337350e-03  7.550600e-04
5.550440e-01  1.061960e-01  4.977843e-03  -1.082330e-03  6.369038e-04
5.651340e-01  1.005110e-01  4.702654e-03  -8.714610e-04  5.344038e-04
5.752240e-01  9.492080e-02  4.432454e-03  -6.978280e-04  4.458858e-04
5.853140e-01  8.942610e-02  4.167525e-03  -5.556610e-04  3.699316e-04
5.954040e-01  8.401580e-02  3.907159e-03  -4.400260e-04  3.052311e-04
6.054940e-01  7.871000e-02  3.652381e-03  -3.465200e-04  2.504554e-04
6.155840e-01  7.352800e-02  3.404035e-03  -2.713540e-04  2.043741e-04
6.256740e-01  6.850030e-02  3.163689e-03  -2.112220e-04  1.657970e-04
6.357640e-01  6.364040e-02  2.931762e-03  -1.633930e-04  1.336930e-04
6.458540e-01  5.894640e-02  2.708334e-03  -1.256120e-04  1.071645e-04
6.559430e-01  5.439770e-02  2.492488e-03  -9.595880e-05  8.538526e-05
6.660330e-01  5.002800e-02  2.285615e-03  -7.281690e-05  6.760300e-05
6.761230e-01  4.585670e-02  2.088710e-03  -5.486530e-05  5.316933e-05
6.862130e-01  4.188890e-02  1.901994e-03  -4.102880e-05  4.152414e-05
6.963030e-01  3.812320e-02  1.725360e-03  -3.044370e-05  3.219678e-05
7.063930e-01  3.453080e-02  1.557439e-03  -2.240840e-05  2.478088e-05
7.164830e-01  3.113130e-02  1.399084e-03  -1.635100e-05  1.892194e-05
7.265730e-01  2.795380e-02  1.251657e-03  -1.181520e-05  1.432024e-05
7.366630e-01  2.498530e-02  1.114372e-03  -8.450980e-06  1.073788e-05
7.467530e-01  2.221310e-02  9.867375e-04  -5.978220e-06  7.971744e-06
7.568420e-01  1.962940e-02  8.683288e-04  -4.178490e-06  5.854547e-06
7.669320e-01  1.724150e-02  7.593737e-04  -2.882890e-06  4.249913e-06
7.770220e-01  1.504980e-02  6.598434e-04  -1.960080e-06  3.044815e-06
7.871120e-01  1.305130e-02  5.695509e-04  -1.311450e-06  2.150389e-06
7.972020e-01  1.123240e-02  4.877902e-04  -8.621730e-07  1.495075e-06
8.072920e-01  9.582310e-03  4.140300e-04  -5.559200e-07  1.021701e-06
8.173820e-01  8.095630e-03  3.479741e-04  -3.507150e-07  6.847957e-07
8.274720e-01  6.776060e-03  2.896942e-04  -2.159380e-07  4.491946e-07
8.375620e-01  5.613690e-03  2.386772e-04  -1.293400e-07  2.875445e-07
8.476520e-01  4.590790e-03  1.940889e-04  -7.509410e-08  1.790644e-07
8.577410e-01  3.701520e-03  1.555980e-04  -4.210950e-08  1.081473e-07
8.678310e-01  2.932290e-03  1.225463e-04  -2.267480e-08  6.302425e-08
8.779210e-01  2.285660e-03  9.497082e-05  -1.165530e-08  3.525909e-08
8.880110e-01  1.746000e-03  7.214215e-05  -5.672150e-09  1.880117e-08
8.981010e-01  1.299670e-03  5.341430e-05  -2.588320e-09  9.476171e-09
9.081910e-01  9.405610e-04  3.846488e-05  -1.093560e-09  4.465601e-09
9.182810e-01  6.528700e-04  2.659124e-05  -4.201840e-10  1.937213e-09
9.283710e-01  4.376790e-04  1.777900e-05  -1.435130e-10  7.586316e-10
9.384610e-01  2.745680e-04  1.114784e-05  -4.203530e-11  2.599912e-10
9.485510e-01  1.610600e-04  6.560523e-06  -1.005000e-11  7.476298e-11
9.586400e-01  8.213790e-05  3.377655e-06  -1.783110e-12  1.660363e-11
9.687300e-01  3.780230e-05  1.586342e-06  -2.008450e-13  2.491851e-12
9.788200e-01  1.166210e-05  5.102621e-07  -9.910910e-15  1.830581e-13
9.889100e-01  6.279980e-07  3.043416e-08  -6.046860e-17  2.137635e-15
9.990000e-01  -8.083850e-08  6.103415e-09  -1.731550e-17  1.723423e-16
