## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  1.225039e-02  -2.189200e-01  2.121833e-02  3.156200e-01  9.611325e-03  -1.621800e-01  1.258561e-02
## x    h_u   dO_h_u    h_d   dO_h_d
1.000000e-04  5.549460e-04  7.435614e-05  -2.670660e-06  2.188224e-06
1.018990e-02  9.901950e-03  5.786377e-04  -4.588310e-03  1.387717e-03
2.027980e-02  1.877580e-02  9.205112e-04  -1.385360e-02  3.319742e-03
3.036970e-02  2.803130e-02  1.236984e-03  -2.573880e-02  5.229953e-03
4.045960e-02  3.757710e-02  1.540772e-03  -3.896650e-02  6.917730e-03
5.054950e-02  4.731400e-02  1.836225e-03  -5.260510e-02  8.304753e-03
6.063940e-02  5.715980e-02  2.125405e-03  -6.597160e-02  9.374408e-03
7.072930e-02  6.704280e-02  2.409094e-03  -7.849280e-02  1.013251e-02
8.081920e-02  7.689080e-02  2.687503e-03  -8.984400e-02  1.061942e-02
9.090910e-02  8.664650e-02  2.960302e-03  -9.973850e-02  1.087155e-02
1.009990e-01  9.624950e-02  3.226974e-03  -1.080340e-01  1.093519e-02
1.110890e-01  1.056510e-01  3.487309e-03  -1.146420e-01  1.085126e-02
1.211790e-01  1.148020e-01  3.739193e-03  -1.195870e-01  1.066240e-02
1.312690e-01  1.236580e-01  3.983738e-03  -1.228960e-01  1.040151e-02
1.413590e-01  1.321840e-01  4.219555e-03  -1.246600e-01  1.009626e-02
1.514480e-01  1.403440e-01  4.445397e-03  -1.249990e-01  9.768187e-03
1.615380e-01  1.480950e-01  4.660610e-03  -1.240440e-01  9.430434e-03
1.716280e-01  1.554240e-01  4.865096e-03  -1.219410e-01  9.092800e-03
1.817180e-01  1.622930e-01  5.057659e-03  -1.188540e-01  8.759909e-03
1.918080e-01  1.686860e-01  5.237448e-03  -1.149280e-01  8.431665e-03
2.018980e-01  1.745870e-01  5.404835e-03  -1.103110e-01  8.106747e-03
2.119880e-01  1.799700e-01  5.558357e-03  -1.051660e-01  7.784549e-03
2.220780e-01  1.848380e-01  5.698125e-03  -9.959300e-02  7.458850e-03
2.321680e-01  1.891660e-01  5.823680e-03  -9.375460e-02  7.131142e-03
2.422580e-01  1.929620e-01  5.934445e-03  -8.772870e-02  6.796915e-03
