## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  6.201599e-03  -2.189200e-01  2.426045e-02  3.104200e-01  3.642516e-03  -1.566200e-01  1.490894e-02
## x    h_u   dO_h_u    h_d   dO_h_d
1.000000e-04  5.549460e-04  6.128162e-05  -2.670660e-06  2.476563e-06
1.018990e-02  9.901950e-03  4.760911e-04  -4.588310e-03  1.456841e-03
2.027980e-02  1.877580e-02  7.357406e-04  -1.385360e-02  3.518281e-03
3.036970e-02  2.803130e-02  9.568759e-04  -2.573880e-02  5.660018e-03
4.045960e-02  3.757710e-02  1.151384e-03  -3.896650e-02  7.683076e-03
5.054950e-02  4.731400e-02  1.324065e-03  -5.260510e-02  9.484868e-03
6.063940e-02  5.715980e-02  1.477804e-03  -6.597160e-02  1.101229e-02
7.072930e-02  6.704280e-02  1.614475e-03  -7.849280e-02  1.223044e-02
8.081920e-02  7.689080e-02  1.735465e-03  -8.984400e-02  1.314393e-02
9.090910e-02  8.664650e-02  1.841888e-03  -9.973850e-02  1.375849e-02
1.009990e-01  9.624950e-02  1.934664e-03  -1.080340e-01  1.410012e-02
1.110890e-01  1.056510e-01  2.014647e-03  -1.146420e-01  1.419824e-02
1.211790e-01  1.148020e-01  2.082688e-03  -1.195870e-01  1.409545e-02
1.312690e-01  1.236580e-01  2.139253e-03  -1.228960e-01  1.383000e-02
1.413590e-01  1.321840e-01  2.186181e-03  -1.246600e-01  1.344438e-02
1.514480e-01  1.403440e-01  2.222862e-03  -1.249990e-01  1.297985e-02
1.615380e-01  1.480950e-01  2.250436e-03  -1.240440e-01  1.247376e-02
1.716280e-01  1.554240e-01  2.269933e-03  -1.219410e-01  1.196004e-02
1.817180e-01  1.622930e-01  2.281638e-03  -1.188540e-01  1.146347e-02
1.918080e-01  1.686860e-01  2.286270e-03  -1.149280e-01  1.100304e-02
2.018980e-01  1.745870e-01  2.284624e-03  -1.103110e-01  1.058961e-02
2.119880e-01  1.799700e-01  2.277122e-03  -1.051660e-01  1.022768e-02
2.220780e-01  1.848380e-01  2.264313e-03  -9.959300e-02  9.910142e-03
2.321680e-01  1.891660e-01  2.246855e-03  -9.375460e-02  9.631881e-03
2.422580e-01  1.929620e-01  2.225511e-03  -8.772870e-02  9.378918e-03
2.523470e-01  1.962130e-01  2.200109e-03  -8.163710e-02  9.140720e-03
2.624370e-01  1.989210e-01  2.171946e-03  -7.555920e-02  8.904683e-03
2.725270e-01  2.010930e-01  2.140755e-03  -6.956390e-02  8.660546e-03
2.826170e-01  2.027210e-01  2.107518e-03  -6.373180e-02  8.402736e-03
2.927070e-01  2.038270e-01  2.072141e-03  -5.809320e-02  8.123703e-03
3.027970e-01  2.044080e-01  2.035039e-03  -5.270240e-02  7.822816e-03
3.128870e-01  2.044810e-01  1.996507e-03  -4.758880e-02  7.499164e-03
3.229770e-01  2.040590e-01  1.956818e-03  -4.277070e-02  7.153601e-03
3.330670e-01  2.031530e-01  1.915925e-03  -3.827070e-02  6.789861e-03
3.431570e-01  2.017850e-01  1.874520e-03  -3.408850e-02  6.410416e-03
3.532460e-01  1.999720e-01  1.832938e-03  -3.023030e-02  6.019990e-03
