## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  8.829213e-04  -2.189200e-01  1.738893e-03  3.200300e-01  6.981046e-04  -1.710000e-01  1.368686e-03
## x    h_u   dO_h_u    h_d   dO_h_d
1.000000e-04  5.549460e-04  2.431100e-06  -2.670660e-06  2.456073e-08
1.018990e-02  9.901950e-03  2.867013e-05  -4.588310e-03  3.642089e-05
2.027980e-02  1.877580e-02  5.117275e-05  -1.385360e-02  1.093281e-04
3.036970e-02  2.803130e-02  7.386992e-05  -2.573880e-02  2.028484e-04
4.045960e-02  3.757710e-02  9.666871e-05  -3.896650e-02  3.070560e-04
5.054950e-02  4.731400e-02  1.195805e-04  -5.260510e-02  4.147928e-04
6.063940e-02  5.715980e-02  1.424020e-04  -6.597160e-02  5.207005e-04
7.072930e-02  6.704280e-02  1.649260e-04  -7.849280e-02  6.202731e-04
8.081920e-02  7.689080e-02  1.871283e-04  -8.984400e-02  7.108519e-04
9.090910e-02  8.664650e-02  2.089440e-04  -9.973850e-02  7.899550e-04
1.009990e-01  9.624950e-02  2.301445e-04  -1.080340e-01  8.572138e-04
1.110890e-01  1.056510e-01  2.505289e-04  -1.146420e-01  9.105530e-04
1.211790e-01  1.148020e-01  2.705213e-04  -1.195870e-01  9.514837e-04
1.312690e-01  1.236580e-01  2.893566e-04  -1.228960e-01  9.793899e-04
1.413590e-01  1.321840e-01  3.072658e-04  -1.246600e-01  9.943098e-04
1.514480e-01  1.403440e-01  3.239294e-04  -1.249990e-01  9.983386e-04
1.615380e-01  1.480950e-01  3.399853e-04  -1.240440e-01  9.924508e-04
1.716280e-01  1.554240e-01  3.549996e-04  -1.219410e-01  9.766417e-04
1.817180e-01  1.622930e-01  3.689682e-04  -1.188540e-01  9.533705e-04
1.918080e-01  1.686860e-01  3.809954e-04  -1.149280e-01  9.226509e-04
2.018980e-01  1.745870e-01  3.923869e-04  -1.103110e-01  8.869780e-04
2.119880e-01  1.799700e-01  4.027847e-04  -1.051660e-01  8.468595e-04
2.220780e-01  1.848380e-01  4.111876e-04  -9.959300e-02  8.029711e-04
2.321680e-01  1.891660e-01  4.188678e-04  -9.375460e-02  7.568671e-04
2.422580e-01  1.929620e-01  4.252396e-04  -8.772870e-02  7.091815e-04
2.523470e-01  1.962130e-01  4.304350e-04  -8.163710e-02  6.607655e-04
2.624370e-01  1.989210e-01  4.343118e-04  -7.555920e-02  6.123600e-04
2.725270e-01  2.010930e-01  4.372817e-04  -6.956390e-02  5.644615e-04
2.826170e-01  2.027210e-01  4.389060e-04  -6.373180e-02  5.178191e-04
2.927070e-01  2.038270e-01  4.390868e-04  -5.809320e-02  4.725728e-04
3.027970e-01  2.044080e-01  4.381244e-04  -5.270240e-02  4.292318e-04
3.128870e-01  2.044810e-01  4.367162e-04  -4.758880e-02  3.880816e-04
3.229770e-01  2.040590e-01  4.334126e-04  -4.277070e-02  3.492312e-04
3.330670e-01  2.031530e-01  4.295492e-04  -3.827070e-02  3.128763e-04
3.431570e-01  2.017850e-01  4.247961e-04  -3.408850e-02  2.790145e-04
3.532460e-01  1.999720e-01  4.190978e-04  -3.023030e-02  2.477463e-04
3.633360e-01  1.977310e-01  4.121890e-04  -2.669280e-02  2.190266e-04
3.734260e-01  1.950810e-01  4.050117e-04  -2.346800e-02  1.927511e-04
3.835160e-01  1.920490e-01  3.966872e-04  -2.054400e-02  1.689708e-04
3.936060e-01  1.886620e-01  3.877557e-04  -1.790740e-02  1.474448e-04
4.036960e-01  1.849310e-01  3.786321e-04  -1.554470e-02  1.281576e-04
4.137860e-01  1.808710e-01  3.683986e-04  -1.343810e-02  1.109282e-04
4.238760e-01  1.765420e-01  3.579347e-04  -1.156570e-02  9.558753e-05
4.339660e-01  1.719850e-01  3.467380e-04  -9.907980e-03  8.199341e-05
4.440560e-01  1.671930e-01  3.356728e-04  -8.450810e-03  7.002304e-05
4.541450e-01  1.621610e-01  3.234934e-04  -7.178160e-03  5.954873e-05
4.642350e-01  1.569340e-01  3.116978e-04  -6.071410e-03  5.043097e-05
4.743250e-01  1.515930e-01  2.998416e-04  -5.110400e-03  4.249928e-05
4.844150e-01  1.461390e-01  2.876122e-04  -4.280810e-03  3.564413e-05
4.945050e-01  1.405680e-01  2.750845e-04  -3.569190e-03  2.975660e-05
5.045950e-01  1.348830e-01  2.622146e-04  -2.962470e-03  2.473038e-05
5.146850e-01  1.291440e-01  2.501425e-04  -2.447240e-03  2.045682e-05
5.247750e-01  1.234100e-01  2.371808e-04  -2.011090e-03  1.683015e-05
5.348650e-01  1.176700e-01  2.250705e-04  -1.644150e-03  1.378051e-05
5.449550e-01  1.119270e-01  2.130710e-04  -1.337350e-03  1.121832e-05
5.550440e-01  1.061960e-01  2.007841e-04  -1.082330e-03  9.093370e-06
5.651340e-01  1.005110e-01  1.890840e-04  -8.714610e-04  7.332182e-06
5.752240e-01  9.492080e-02  1.773696e-04  -6.978280e-04  5.879303e-06
5.853140e-01  8.942610e-02  1.661107e-04  -5.556610e-04  4.687985e-06
5.954040e-01  8.401580e-02  1.550466e-04  -4.400260e-04  3.717572e-06
6.054940e-01  7.871000e-02  1.443497e-04  -3.465200e-04  2.931945e-06
6.155840e-01  7.352800e-02  1.339526e-04  -2.713540e-04  2.299005e-06
6.256740e-01  6.850030e-02  1.239643e-04  -2.112220e-04  1.792123e-06
6.357640e-01  6.364040e-02  1.143572e-04  -1.633930e-04  1.388033e-06
6.458540e-01  5.894640e-02  1.052008e-04  -1.256120e-04  1.068757e-06
6.559430e-01  5.439770e-02  9.637338e-05  -9.595880e-05  8.177806e-07
