## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  5.677326e-03  -2.189200e-01  2.061565e-03  3.203600e-01  4.102706e-03  -1.710000e-01  1.587844e-03
## x    h_u   dO_h_u    h_d   dO_h_d
1.000000e-04  5.549460e-04  2.727661e-05  -2.670660e-06  5.633432e-08
1.018990e-02  9.901950e-03  2.631151e-04  -4.588310e-03  5.433940e-05
2.027980e-02  1.877580e-02  4.379495e-04  -1.385360e-02  1.515035e-04
3.036970e-02  2.803130e-02  6.018579e-04  -2.573880e-02  2.696020e-04
4.045960e-02  3.757710e-02  7.583399e-04  -3.896650e-02  3.967638e-04
5.054950e-02  4.731400e-02  9.080819e-04  -5.260510e-02  5.248888e-04
6.063940e-02  5.715980e-02  1.051381e-03  -6.597160e-02  6.482724e-04
7.072930e-02  6.704280e-02  1.188221e-03  -7.849280e-02  7.621297e-04
8.081920e-02  7.689080e-02  1.318497e-03  -8.984400e-02  8.639730e-04
9.090910e-02  8.664650e-02  1.441909e-03  -9.973850e-02  9.513651e-04
1.009990e-01  9.624950e-02  1.558278e-03  -1.080340e-01  1.024142e-03
1.110890e-01  1.056510e-01  1.667475e-03  -1.146420e-01  1.080296e-03
1.211790e-01  1.148020e-01  1.769349e-03  -1.195870e-01  1.121784e-03
1.312690e-01  1.236580e-01  1.864114e-03  -1.228960e-01  1.147487e-03
1.413590e-01  1.321840e-01  1.951221e-03  -1.246600e-01  1.159813e-03
1.514480e-01  1.403440e-01  2.030737e-03  -1.249990e-01  1.158948e-03
1.615380e-01  1.480950e-01  2.101845e-03  -1.240440e-01  1.146528e-03
1.716280e-01  1.554240e-01  2.166232e-03  -1.219410e-01  1.123796e-03
1.817180e-01  1.622930e-01  2.222816e-03  -1.188540e-01  1.092673e-03
1.918080e-01  1.686860e-01  2.271501e-03  -1.149280e-01  1.054103e-03
2.018980e-01  1.745870e-01  2.313450e-03  -1.103110e-01  1.009197e-03
2.119880e-01  1.799700e-01  2.347545e-03  -1.051660e-01  9.596735e-04
2.220780e-01  1.848380e-01  2.374776e-03  -9.959300e-02  9.071582e-04
2.321680e-01  1.891660e-01  2.395015e-03  -9.375460e-02  8.523897e-04
2.422580e-01  1.929620e-01  2.408086e-03  -8.772870e-02  7.960191e-04
2.523470e-01  1.962130e-01  2.414630e-03  -8.163710e-02  7.392963e-04
2.624370e-01  1.989210e-01  2.415302e-03  -7.555920e-02  6.829160e-04
2.725270e-01  2.010930e-01  2.408924e-03  -6.956390e-02  6.274970e-04
2.826170e-01  2.027210e-01  2.397182e-03  -6.373180e-02  5.737682e-04
2.927070e-01  2.038270e-01  2.379556e-03  -5.809320e-02  5.219786e-04
3.027970e-01  2.044080e-01  2.356855e-03  -5.270240e-02  4.726287e-04
3.128870e-01  2.044810e-01  2.328705e-03  -4.758880e-02  4.259243e-04
3.229770e-01  2.040590e-01  2.296368e-03  -4.277070e-02  3.820264e-04
3.330670e-01  2.031530e-01  2.259866e-03  -3.827070e-02  3.411326e-04
3.431570e-01  2.017850e-01  2.218420e-03  -3.408850e-02  3.032402e-04
3.532460e-01  1.999720e-01  2.173625e-03  -3.023030e-02  2.683336e-04
3.633360e-01  1.977310e-01  2.125003e-03  -2.669280e-02  2.363895e-04
3.734260e-01  1.950810e-01  2.073582e-03  -2.346800e-02  2.074169e-04
3.835160e-01  1.920490e-01  2.019378e-03  -2.054400e-02  1.811249e-04
3.936060e-01  1.886620e-01  1.962752e-03  -1.790740e-02  1.575655e-04
4.036960e-01  1.849310e-01  1.903668e-03  -1.554470e-02  1.363898e-04
4.137860e-01  1.808710e-01  1.842020e-03  -1.343810e-02  1.176528e-04
4.238760e-01  1.765420e-01  1.779697e-03  -1.156570e-02  1.009690e-04
4.339660e-01  1.719850e-01  1.716069e-03  -9.907980e-03  8.628991e-05
4.440560e-01  1.671930e-01  1.651402e-03  -8.450810e-03  7.340058e-05
4.541450e-01  1.621610e-01  1.585858e-03  -7.178160e-03  6.218231e-05
4.642350e-01  1.569340e-01  1.519615e-03  -6.071410e-03  5.244859e-05
4.743250e-01  1.515930e-01  1.453602e-03  -5.110400e-03  4.402272e-05
4.844150e-01  1.461390e-01  1.387697e-03  -4.280810e-03  3.676782e-05
4.945050e-01  1.405680e-01  1.322051e-03  -3.569190e-03  3.056230e-05
5.045950e-01  1.348830e-01  1.256353e-03  -2.962470e-03  2.528979e-05
5.146850e-01  1.291440e-01  1.191709e-03  -2.447240e-03  2.082521e-05
5.247750e-01  1.234100e-01  1.127978e-03  -2.011090e-03  1.705907e-05
5.348650e-01  1.176700e-01  1.065515e-03  -1.644150e-03  1.389691e-05
5.449550e-01  1.119270e-01  1.004181e-03  -1.337350e-03  1.126560e-05
5.550440e-01  1.061960e-01  9.445332e-04  -1.082330e-03  9.088130e-06
5.651340e-01  1.005110e-01  8.857012e-04  -8.714610e-04  7.289251e-06
5.752240e-01  9.492080e-02  8.287059e-04  -6.978280e-04  5.815736e-06
5.853140e-01  8.942610e-02  7.737467e-04  -5.556610e-04  4.613265e-06
5.954040e-01  8.401580e-02  7.204503e-04  -4.400260e-04  3.639259e-06
6.054940e-01  7.871000e-02  6.689434e-04  -3.465200e-04  2.854827e-06
6.155840e-01  7.352800e-02  6.194462e-04  -2.713540e-04  2.226559e-06
6.256740e-01  6.850030e-02  5.720037e-04  -2.112220e-04  1.725853e-06
6.357640e-01  6.364040e-02  5.267662e-04  -1.633930e-04  1.329420e-06
6.458540e-01  5.894640e-02  4.836902e-04  -1.256120e-04  1.017931e-06
6.559430e-01  5.439770e-02  4.425151e-04  -9.595880e-05  7.741990e-07
6.660330e-01  5.002800e-02  4.034679e-04  -7.281690e-05  5.848792e-07
6.761230e-01  4.585670e-02  3.666873e-04  -5.486530e-05  4.387468e-07
6.862130e-01  4.188890e-02  3.320600e-04  -4.102880e-05  3.266063e-07
6.963030e-01  3.812320e-02  2.996649e-04  -3.044370e-05  2.412582e-07
7.063930e-01  3.453080e-02  2.691034e-04  -2.240840e-05  1.767699e-07
7.164830e-01  3.113130e-02  2.406155e-04  -1.635100e-05  1.283676e-07
