## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  6.012745e-03  -2.189200e-01  8.537040e-03  2.976300e-01  4.239953e-03  -1.610100e-01  4.119615e-03
## x    h_u   dO_h_u    h_d   dO_h_d
1.000000e-04  5.549460e-04  2.470899e-05  -2.670660e-06  9.600928e-07
1.018990e-02  9.901950e-03  2.447357e-04  -4.588310e-03  6.315879e-04
2.027980e-02  1.877580e-02  4.141803e-04  -1.385360e-02  1.493895e-03
3.036970e-02  2.803130e-02  5.770026e-04  -2.573880e-02  2.323784e-03
4.045960e-02  3.757710e-02  7.357224e-04  -3.896650e-02  3.031243e-03
5.054950e-02  4.731400e-02  8.906040e-04  -5.260510e-02  3.583498e-03
6.063940e-02  5.715980e-02  1.041583e-03  -6.597160e-02  3.976012e-03
7.072930e-02  6.704280e-02  1.188345e-03  -7.849280e-02  4.214617e-03
8.081920e-02  7.689080e-02  1.330406e-03  -8.984400e-02  4.320350e-03
9.090910e-02  8.664650e-02  1.467388e-03  -9.973850e-02  4.312134e-03
1.009990e-01  9.624950e-02  1.598877e-03  -1.080340e-01  4.214507e-03
1.110890e-01  1.056510e-01  1.724258e-03  -1.146420e-01  4.047938e-03
1.211790e-01  1.148020e-01  1.843589e-03  -1.195870e-01  3.834742e-03
1.312690e-01  1.236580e-01  1.956674e-03  -1.228960e-01  3.592944e-03
1.413590e-01  1.321840e-01  2.062584e-03  -1.246600e-01  3.339703e-03
1.514480e-01  1.403440e-01  2.161790e-03  -1.249990e-01  3.087281e-03
1.615380e-01  1.480950e-01  2.252997e-03  -1.240440e-01  2.845898e-03
1.716280e-01  1.554240e-01  2.337466e-03  -1.219410e-01  2.623493e-03
1.817180e-01  1.622930e-01  2.413626e-03  -1.188540e-01  2.424962e-03
1.918080e-01  1.686860e-01  2.482648e-03  -1.149280e-01  2.250809e-03
2.018980e-01  1.745870e-01  2.543891e-03  -1.103110e-01  2.100512e-03
2.119880e-01  1.799700e-01  2.597242e-03  -1.051660e-01  1.972565e-03
