## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  3.075581e-03  -2.189200e-01  2.813174e-03  3.061500e-01  2.369826e-03  -1.626900e-01  2.007274e-03
## x    h_u   dO_h_u    h_d   dO_h_d
1.000000e-04  5.549460e-04  5.342095e-06  -2.670660e-06  2.622445e-07
1.018990e-02  9.901950e-03  8.162193e-05  -4.588310e-03  1.652875e-04
2.027980e-02  1.877580e-02  1.520931e-04  -1.385360e-02  3.859542e-04
3.036970e-02  2.803130e-02  2.249591e-04  -2.573880e-02  5.978922e-04
4.045960e-02  3.757710e-02  2.997277e-04  -3.896650e-02  7.826573e-04
5.054950e-02  4.731400e-02  3.757479e-04  -5.260510e-02  9.362808e-04
6.063940e-02  5.715980e-02  4.523511e-04  -6.597160e-02  1.060987e-03
7.072930e-02  6.704280e-02  5.290798e-04  -7.849280e-02  1.160439e-03
8.081920e-02  7.689080e-02  6.053586e-04  -8.984400e-02  1.240881e-03
9.090910e-02  8.664650e-02  6.807868e-04  -9.973850e-02  1.306502e-03
1.009990e-01  9.624950e-02  7.548661e-04  -1.080340e-01  1.361385e-03
1.110890e-01  1.056510e-01  8.274347e-04  -1.146420e-01  1.407276e-03
1.211790e-01  1.148020e-01  8.972156e-04  -1.195870e-01  1.446214e-03
1.312690e-01  1.236580e-01  9.658834e-04  -1.228960e-01  1.477891e-03
1.413590e-01  1.321840e-01  1.031087e-03  -1.246600e-01  1.502369e-03
1.514480e-01  1.403440e-01  1.093770e-03  -1.249990e-01  1.518224e-03
1.615380e-01  1.480950e-01  1.153327e-03  -1.240440e-01  1.526048e-03
1.716280e-01  1.554240e-01  1.208996e-03  -1.219410e-01  1.524752e-03
1.817180e-01  1.622930e-01  1.261338e-03  -1.188540e-01  1.513570e-03
1.918080e-01  1.686860e-01  1.310071e-03  -1.149280e-01  1.493089e-03
2.018980e-01  1.745870e-01  1.354943e-03  -1.103110e-01  1.463479e-03
2.119880e-01  1.799700e-01  1.395889e-03  -1.051660e-01  1.425475e-03
2.220780e-01  1.848380e-01  1.432735e-03  -9.959300e-02  1.379312e-03
2.321680e-01  1.891660e-01  1.465331e-03  -9.375460e-02  1.326375e-03
2.422580e-01  1.929620e-01  1.494264e-03  -8.772870e-02  1.267625e-03
2.523470e-01  1.962130e-01  1.518316e-03  -8.163710e-02  1.204311e-03
2.624370e-01  1.989210e-01  1.538377e-03  -7.555920e-02  1.137444e-03
2.725270e-01  2.010930e-01  1.554723e-03  -6.956390e-02  1.067962e-03
2.826170e-01  2.027210e-01  1.566752e-03  -6.373180e-02  9.972552e-04
2.927070e-01  2.038270e-01  1.574373e-03  -5.809320e-02  9.259924e-04
3.027970e-01  2.044080e-01  1.578184e-03  -5.270240e-02  8.552069e-04
3.128870e-01  2.044810e-01  1.577808e-03  -4.758880e-02  7.856601e-04
3.229770e-01  2.040590e-01  1.574232e-03  -4.277070e-02  7.179887e-04
3.330670e-01  2.031530e-01  1.566646e-03  -3.827070e-02  6.528397e-04
3.431570e-01  2.017850e-01  1.555456e-03  -3.408850e-02  5.905738e-04
3.532460e-01  1.999720e-01  1.540879e-03  -3.023030e-02  5.316271e-04
3.633360e-01  1.977310e-01  1.523138e-03  -2.669280e-02  4.763010e-04
3.734260e-01  1.950810e-01  1.502658e-03  -2.346800e-02  4.246206e-04
3.835160e-01  1.920490e-01  1.478504e-03  -2.054400e-02  3.767662e-04
3.936060e-01  1.886620e-01  1.452113e-03  -1.790740e-02  3.326977e-04
4.036960e-01  1.849310e-01  1.423003e-03  -1.554470e-02  2.924727e-04
4.137860e-01  1.808710e-01  1.391367e-03  -1.343810e-02  2.559287e-04
4.238760e-01  1.765420e-01  1.358047e-03  -1.156570e-02  2.228493e-04
4.339660e-01  1.719850e-01  1.322203e-03  -9.907980e-03  1.931403e-04
4.440560e-01  1.671930e-01  1.285135e-03  -8.450810e-03  1.665491e-04
4.541450e-01  1.621610e-01  1.246151e-03  -7.178160e-03  1.429979e-04
4.642350e-01  1.569340e-01  1.205752e-03  -6.071410e-03  1.222134e-04
4.743250e-01  1.515930e-01  1.164621e-03  -5.110400e-03  1.039142e-04
4.844150e-01  1.461390e-01  1.122502e-03  -4.280810e-03  8.790476e-05
4.945050e-01  1.405680e-01  1.079299e-03  -3.569190e-03  7.399633e-05
5.045950e-01  1.348830e-01  1.035534e-03  -2.962470e-03  6.199749e-05
5.146850e-01  1.291440e-01  9.909918e-04  -2.447240e-03  5.168327e-05
5.247750e-01  1.234100e-01  9.470820e-04  -2.011090e-03  4.284993e-05
5.348650e-01  1.176700e-01  9.026609e-04  -1.644150e-03  3.533312e-05
5.449550e-01  1.119270e-01  8.588214e-04  -1.337350e-03  2.898990e-05
5.550440e-01  1.061960e-01  8.148047e-04  -1.082330e-03  2.365698e-05
5.651340e-01  1.005110e-01  7.708369e-04  -8.714610e-04  1.920531e-05
5.752240e-01  9.492080e-02  7.279059e-04  -6.978280e-04  1.550328e-05
5.853140e-01  8.942610e-02  6.857107e-04  -5.556610e-04  1.244343e-05
