NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
FIT  1  1013.935018  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  1  8309.002322  0.024334  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  2  8502.256856  0.022900  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  3  2799.461417  0.023975  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  4  2925.612568  0.023258  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  5  1444.728892  0.023796  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  6  1510.257069  0.023437  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  7  1112.756494  0.023706  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  8  1145.741124  0.023527  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  9  1034.291124  0.023661  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  10  1050.722859  0.023572  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  11  1017.151667  0.023639  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  12  1025.461676  0.023594  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  13  1013.800770  0.023628  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  14  1018.050499  0.023605  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  15  1013.442298  0.023622  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  16  1015.475196  0.023611  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  17  1013.651742  0.023619  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  18  1014.575784  0.023614  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  19  1013.779012  0.023618  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  20  1014.333349  0.023615  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  1  1804.854404  0.023617  0.261971  -0.195220  1.695860  0.360717  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  2  1901.997923  0.023617  0.261971  -0.195220  1.695860  0.280485  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  3  1208.547369  0.023617  0.261971  -0.195220  1.695860  0.340659  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  4  1239.330565  0.023617  0.261971  -0.195220  1.695860  0.300543  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  5  1059.798296  0.023617  0.261971  -0.195220  1.695860  0.330630  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  6  1073.066399  0.023617  0.261971  -0.195220  1.695860  0.310572  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  7  1023.878048  0.023617  0.261971  -0.195220  1.695860  0.325616  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  8  1030.240185  0.023617  0.261971  -0.195220  1.695860  0.315587  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  9  1015.687719  0.023617  0.261971  -0.195220  1.695860  0.323108  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  10  1018.792304  0.023617  0.261971  -0.195220  1.695860  0.318094  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  11  1013.969662  0.023617  0.261971  -0.195220  1.695860  0.321855  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  12  1015.542561  0.023617  0.261971  -0.195220  1.695860  0.319347  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  13  1013.747092  0.023617  0.261971  -0.195220  1.695860  0.321228  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  14  1014.539608  0.023617  0.261971  -0.195220  1.695860  0.319974  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  15  1013.789653  0.023617  0.261971  -0.195220  1.695860  0.320914  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  16  1014.189041  0.023617  0.261971  -0.195220  1.695860  0.320288  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  17  1013.849639  0.023617  0.261971  -0.195220  1.695860  0.320758  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  18  1014.046504  0.023617  0.261971  -0.195220  1.695860  0.320444  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  19  1013.889378  0.023617  0.261971  -0.195220  1.695860  0.320679  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  20  1013.987000  0.023617  0.261971  -0.195220  1.695860  0.320523  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  1  1091.173484  0.023617  0.261971  -0.195220  1.703450  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  2  1129.549938  0.023617  0.261971  -0.195220  1.688270  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  3  1028.661223  0.023617  0.261971  -0.195220  1.699660  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  4  1047.558264  0.023617  0.261971  -0.195220  1.692060  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  5  1015.280420  0.023617  0.261971  -0.195220  1.697760  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  6  1024.680819  0.023617  0.261971  -0.195220  1.693960  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  7  1013.393702  0.023617  0.261971  -0.195220  1.696810  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  8  1017.793512  0.023617  0.261971  -0.195220  1.694910  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  9  1013.140185  0.023617  0.261971  -0.195220  1.696330  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  10  1015.466781  0.023617  0.261971  -0.195220  1.695390  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  11  1013.438095  0.023617  0.261971  -0.195220  1.696100  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  12  1014.625334  0.023617  0.261971  -0.195220  1.695620  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  13  1013.662434  0.023617  0.261971  -0.195220  1.695980  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  14  1014.255632  0.023617  0.261971  -0.195220  1.695740  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  15  1013.792710  0.023617  0.261971  -0.195220  1.695920  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  16  1014.089374  0.023617  0.261971  -0.195220  1.695800  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
