NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
FIT  1  492.010232  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  1  1938.241740  0.024334  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  2  1813.963594  0.022900  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  3  861.754895  0.023975  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  4  814.392088  0.023258  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  5  589.802079  0.023796  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  6  567.695480  0.023437  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  7  518.960667  0.023706  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  8  508.141210  0.023527  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  9  499.988170  0.023661  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  10  494.633253  0.023572  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  11  494.693302  0.023639  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  12  491.988806  0.023594  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  13  493.026635  0.023628  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  14  491.642971  0.023605  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  15  492.391416  0.023622  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  16  491.728733  0.023611  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  17  492.146553  0.023619  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  18  491.846169  0.023614  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  19  492.075707  0.023618  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  20  491.895471  0.023615  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  1  863.914595  0.023617  0.261971  -0.195220  1.695860  0.360717  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  2  849.467272  0.023617  0.261971  -0.195220  1.695860  0.280485  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  3  590.150040  0.023617  0.261971  -0.195220  1.695860  0.340659  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  4  576.158363  0.023617  0.261971  -0.195220  1.695860  0.300543  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  5  518.715402  0.023617  0.261971  -0.195220  1.695860  0.330630  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  6  510.872029  0.023617  0.261971  -0.195220  1.695860  0.310572  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  7  499.720299  0.023617  0.261971  -0.195220  1.695860  0.325616  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
