NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
FIT  1  616.996184  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  1  23101.435186  0.024334  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  2  22030.767526  0.022900  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  3  6267.742304  0.023975  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  4  5943.080057  0.023258  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  5  2062.935658  0.023796  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  6  1922.877283  0.023437  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  7  992.405536  0.023706  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  8  925.429435  0.023527  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  9  717.859419  0.023661  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  10  684.890229  0.023572  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  11  646.736188  0.023639  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  12  630.109690  0.023594  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  13  626.694250  0.023628  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  14  618.204012  0.023605  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  15  620.122770  0.023622  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  16  616.063462  0.023611  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  17  617.990533  0.023619  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  18  616.145710  0.023614  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  19  617.450650  0.023618  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  20  616.343517  0.023615  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
