x (h+)   range         Collins sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.0064 [0.0030,0.0080]	-0.0040	0.0189	1.25	0.66	0.53	0.0064	0.285	13.96
0.0106 [0.0080,0.0130]	-0.0151	0.0091	1.48	0.47	0.52	0.0106	0.321	11.77
0.0164 [0.0130,0.0200]	0.0039	0.0068	1.74	0.36	0.50	0.0164	0.345	10.11
0.0257 [0.0200,0.0320]	0.0008	0.0055	2.07	0.27	0.49	0.0257	0.360	8.72
0.0399 [0.0320,0.0500]	-0.0032	0.0056	2.74	0.23	0.48	0.0399	0.367	7.91
0.0628 [0.0500,0.0800]	-0.0135	0.0065	4.25	0.23	0.48	0.0628	0.364	7.76
0.1010 [0.0800,0.1300]	-0.0425	0.0077	6.69	0.22	0.48	0.1010	0.361	7.53
0.1623 [0.1300,0.2100]	-0.0406	0.0097	10.56	0.22	0.48	0.1623	0.360	7.21
0.2892 [0.2100,0.7000]	-0.0569	0.0125	20.85	0.24	0.51	0.2892	0.360	6.92
x (h-)   range         Collins sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.0064 [0.0030,0.0080]	-0.0276	0.0193	1.25	0.66	0.53	0.0064	0.286	13.98
0.0106 [0.0080,0.0130]	0.0097	0.0094	1.49	0.48	0.52	0.0106	0.320	11.80
0.0164 [0.0130,0.0200]	0.0084	0.0072	1.75	0.36	0.50	0.0164	0.343	10.14
0.0257 [0.0200,0.0320]	0.0047	0.0058	2.08	0.27	0.49	0.0257	0.357	8.74
0.0398 [0.0320,0.0500]	0.0065	0.0060	2.75	0.23	0.48	0.0398	0.362	7.92
0.0627 [0.0500,0.0800]	0.0264	0.0071	4.25	0.23	0.48	0.0627	0.356	7.76
0.1008 [0.0800,0.1300]	0.0327	0.0086	6.68	0.22	0.48	0.1008	0.351	7.53
0.1620 [0.1300,0.2100]	0.0381	0.0112	10.55	0.22	0.48	0.1620	0.347	7.21
0.2884 [0.2100,0.7000]	0.0646	0.0147	20.71	0.24	0.51	0.2884	0.344	6.91
pt (h+)   range         Collins sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.155 [0.100,0.200]	-0.0037	0.0076	3.65	0.28	0.15	0.0529	0.343	8.64
0.252 [0.200,0.300]	-0.0084	0.0063	3.60	0.28	0.25	0.0521	0.341	8.67
0.350 [0.300,0.400]	-0.0147	0.0060	3.58	0.29	0.35	0.0509	0.341	8.77
0.449 [0.400,0.500]	-0.0165	0.0063	3.66	0.29	0.45	0.0510	0.342	8.87
0.548 [0.500,0.600]	-0.0108	0.0071	3.74	0.30	0.55	0.0509	0.348	8.97
0.668 [0.600,0.750]	-0.0189	0.0071	3.83	0.31	0.67	0.0507	0.361	9.09
0.817 [0.750,0.900]	-0.0101	0.0096	3.97	0.32	0.82	0.0505	0.380	9.24
1.045 [0.900,1.300]	-0.0028	0.0101	4.21	0.34	1.04	0.0505	0.402	9.51
1.563 [1.300,1000.000]	-0.0238	0.0221	4.97	0.39	1.56	0.0515	0.414	10.28
pt (h-)   range         Collins sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.155 [0.100,0.200]	0.0061	0.0082	3.45	0.29	0.15	0.0495	0.344	8.73
0.252 [0.200,0.300]	0.0081	0.0068	3.40	0.29	0.25	0.0486	0.341	8.77
0.350 [0.300,0.400]	0.0056	0.0064	3.37	0.30	0.35	0.0475	0.340	8.89
0.448 [0.400,0.500]	0.0137	0.0069	3.47	0.30	0.45	0.0477	0.338	9.00
0.548 [0.500,0.600]	0.0178	0.0077	3.56	0.31	0.55	0.0478	0.340	9.10
0.668 [0.600,0.750]	0.0234	0.0077	3.65	0.32	0.67	0.0476	0.349	9.22
0.817 [0.750,0.900]	0.0143	0.0104	3.78	0.33	0.82	0.0474	0.364	9.37
1.045 [0.900,1.300]	0.0426	0.0111	3.96	0.34	1.04	0.0469	0.384	9.63
1.563 [1.300,1000.000]	0.0258	0.0239	4.50	0.39	1.56	0.0461	0.398	10.37
z (h+)   range         Collins sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.223 [0.200,0.250]	-0.0083	0.0048	3.86	0.33	0.45	0.0482	0.223	9.42
0.273 [0.250,0.300]	-0.0123	0.0057	3.85	0.32	0.47	0.0498	0.273	9.24
0.324 [0.300,0.350]	-0.0094	0.0068	3.83	0.31	0.49	0.0512	0.324	9.06
0.374 [0.350,0.400]	-0.0190	0.0079	3.80	0.29	0.51	0.0525	0.374	8.84
0.445 [0.400,0.500]	-0.0115	0.0070	3.70	0.27	0.54	0.0542	0.445	8.50
0.565 [0.500,0.650]	-0.0120	0.0081	3.51	0.24	0.57	0.0561	0.565	8.04
0.716 [0.650,0.800]	-0.0126	0.0117	3.20	0.21	0.56	0.0563	0.716	7.59
0.878 [0.800,1.000]	-0.0356	0.0156	2.79	0.19	0.47	0.0539	0.878	7.23
z (h-)   range         Collins sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.223 [0.200,0.250]	0.0049	0.0051	3.71	0.34	0.45	0.0461	0.223	9.51
0.273 [0.250,0.300]	0.0214	0.0061	3.67	0.33	0.48	0.0471	0.273	9.34
0.323 [0.300,0.350]	0.0114	0.0073	3.62	0.31	0.50	0.0480	0.323	9.18
0.373 [0.350,0.400]	0.0175	0.0087	3.55	0.30	0.52	0.0488	0.373	8.97
0.444 [0.400,0.500]	0.0293	0.0077	3.43	0.27	0.54	0.0501	0.444	8.61
0.564 [0.500,0.650]	0.0203	0.0091	3.20	0.24	0.55	0.0511	0.564	8.12
0.716 [0.650,0.800]	-0.0029	0.0132	2.84	0.21	0.53	0.0502	0.716	7.66
0.879 [0.800,1.000]	0.0067	0.0173	2.47	0.19	0.43	0.0479	0.879	7.28
x (h+)   range         Sivers sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.0064 [0.0030,0.0080]	0.0067	0.0114	1.25	0.66	0.53	0.0064	0.285	13.96
0.0106 [0.0080,0.0130]	0.0101	0.0073	1.48	0.47	0.52	0.0106	0.321	11.77
0.0164 [0.0130,0.0200]	0.0109	0.0061	1.74	0.36	0.50	0.0164	0.345	10.11
0.0257 [0.0200,0.0320]	0.0168	0.0051	2.07	0.27	0.49	0.0257	0.360	8.72
0.0399 [0.0320,0.0500]	0.0259	0.0053	2.74	0.23	0.48	0.0399	0.367	7.91
0.0628 [0.0500,0.0800]	0.0304	0.0061	4.25	0.23	0.48	0.0628	0.364	7.76
0.1010 [0.0800,0.1300]	0.0263	0.0072	6.69	0.22	0.48	0.1010	0.361	7.53
0.1623 [0.1300,0.2100]	0.0441	0.0092	10.56	0.22	0.48	0.1623	0.360	7.21
0.2892 [0.2100,0.7000]	0.0345	0.0119	20.84	0.24	0.51	0.2892	0.360	6.92
x (h-)   range         Sivers sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.0064 [0.0030,0.0080]	0.0081	0.0114	1.25	0.66	0.53	0.0064	0.286	13.98
0.0106 [0.0080,0.0130]	0.0036	0.0075	1.49	0.48	0.52	0.0106	0.320	11.80
0.0164 [0.0130,0.0200]	-0.0108	0.0063	1.75	0.36	0.50	0.0164	0.343	10.14
0.0257 [0.0200,0.0320]	-0.0071	0.0054	2.08	0.27	0.49	0.0257	0.357	8.74
0.0398 [0.0320,0.0500]	-0.0033	0.0057	2.75	0.23	0.48	0.0398	0.362	7.92
0.0627 [0.0500,0.0800]	-0.0055	0.0067	4.25	0.23	0.48	0.0627	0.356	7.76
0.1008 [0.0800,0.1300]	-0.0036	0.0081	6.68	0.22	0.48	0.1008	0.351	7.53
0.1620 [0.1300,0.2100]	0.0005	0.0106	10.55	0.22	0.48	0.1620	0.347	7.21
0.2883 [0.2100,0.7000]	0.0421	0.0140	20.70	0.24	0.51	0.2883	0.344	6.91
pt (h+)   range         Sivers sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.155 [0.100,0.200]	0.0117	0.0070	3.65	0.28	0.15	0.0529	0.343	8.64
0.252 [0.200,0.300]	0.0184	0.0058	3.60	0.28	0.25	0.0521	0.341	8.67
0.350 [0.300,0.400]	0.0122	0.0055	3.58	0.29	0.35	0.0509	0.341	8.77
0.449 [0.400,0.500]	0.0262	0.0057	3.66	0.29	0.45	0.0510	0.342	8.87
0.548 [0.500,0.600]	0.0280	0.0064	3.74	0.30	0.55	0.0509	0.348	8.97
0.668 [0.600,0.750]	0.0259	0.0064	3.83	0.31	0.67	0.0507	0.361	9.09
0.817 [0.750,0.900]	0.0203	0.0085	3.97	0.32	0.82	0.0505	0.380	9.24
1.045 [0.900,1.300]	0.0320	0.0089	4.21	0.34	1.04	0.0505	0.402	9.51
1.563 [1.300,1000.000]	0.0173	0.0183	4.96	0.39	1.56	0.0515	0.414	10.28
pt (h-)   range         Sivers sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.155 [0.100,0.200]	0.0010	0.0075	3.45	0.29	0.15	0.0495	0.344	8.73
0.252 [0.200,0.300]	0.0045	0.0062	3.40	0.29	0.25	0.0486	0.341	8.77
0.350 [0.300,0.400]	-0.0094	0.0058	3.37	0.30	0.35	0.0475	0.340	8.89
0.448 [0.400,0.500]	0.0005	0.0062	3.46	0.30	0.45	0.0477	0.338	9.00
0.548 [0.500,0.600]	-0.0066	0.0069	3.56	0.31	0.55	0.0478	0.340	9.10
0.668 [0.600,0.750]	0.0077	0.0069	3.65	0.32	0.67	0.0476	0.349	9.22
0.817 [0.750,0.900]	-0.0142	0.0092	3.78	0.33	0.82	0.0474	0.364	9.37
1.045 [0.900,1.300]	-0.0120	0.0096	3.96	0.34	1.04	0.0469	0.384	9.63
1.563 [1.300,1000.000]	-0.0117	0.0196	4.50	0.39	1.56	0.0461	0.398	10.37
z (h+)   range         Sivers sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.223 [0.200,0.250]	0.0234	0.0042	3.85	0.33	0.45	0.0482	0.223	9.42
0.273 [0.250,0.300]	0.0151	0.0051	3.85	0.32	0.47	0.0498	0.273	9.24
0.324 [0.300,0.350]	0.0102	0.0061	3.83	0.31	0.49	0.0512	0.324	9.06
0.374 [0.350,0.400]	0.0088	0.0072	3.80	0.29	0.51	0.0525	0.374	8.84
0.445 [0.400,0.500]	0.0298	0.0065	3.70	0.27	0.54	0.0542	0.445	8.50
0.565 [0.500,0.650]	0.0318	0.0077	3.51	0.24	0.57	0.0561	0.565	8.04
0.716 [0.650,0.800]	0.0475	0.0113	3.20	0.21	0.56	0.0563	0.716	7.59
0.878 [0.800,1.000]	0.0259	0.0152	2.79	0.19	0.47	0.0539	0.878	7.23
z (h-)   range         Sivers sigma  <Q2> 	<y>	<pT>	<x>	<z>	<W>
0.223 [0.200,0.250]	0.0045	0.0045	3.71	0.34	0.45	0.0461	0.223	9.51
0.273 [0.250,0.300]	0.0032	0.0054	3.67	0.33	0.48	0.0471	0.273	9.34
0.323 [0.300,0.350]	-0.0164	0.0065	3.62	0.31	0.50	0.0480	0.323	9.18
0.373 [0.350,0.400]	0.0116	0.0078	3.55	0.30	0.52	0.0488	0.373	8.97
0.444 [0.400,0.500]	-0.0127	0.0071	3.43	0.27	0.54	0.0501	0.444	8.61
0.564 [0.500,0.650]	-0.0270	0.0086	3.20	0.24	0.55	0.0511	0.564	8.12
0.716 [0.650,0.800]	0.0124	0.0128	2.84	0.21	0.53	0.0502	0.716	7.66
0.879 [0.800,1.000]	-0.0091	0.0169	2.47	0.19	0.43	0.0479	0.879	7.28
